# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0-beta2

\_block, block, 8405776F726C6480FF0000000181046E616D65208007576F726C645F31017803FFFFFD4701790300000039017A03FFFFFF9E
kits::1::contents::0, itemstack, 810576616C75652080BA76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2053544F4E455F484F450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20277B226578747261223A5B7B2274657874223A2266697265737469636B227D5D2C2274657874223A22227D270A
kits::1::contents::1, itemstack, 810576616C756520805076616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20444952540A2020616D6F756E743A2032380A
kits::1::contents::2, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2047524153535F424C4F434B0A
kits::1::contents::3, itemstack, 810576616C756520804676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20424152524945520A
kits::1::contents::4, itemstack, 810576616C756520804776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204C494C595F5041440A
kits::1::contents::5, itemstack, 810576616C756520805676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20424C41434B5F574F4F4C0A2020616D6F756E743A2036340A
kits::1::contents::6, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20504F445A4F4C0A
kits::1::contents::8, itemstack, 810576616C756520804476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2053544F4E450A
kits::1::name, string, 80025061
knightlvl::<player>, long, 0000000000000000
knightlvlcalthepanda, long, 0000000000000001
launchpadactive, long, 0000000000000000
left, long, 0000000000000000
lol.bestenderman25, long, 0000000000000032
lol.calthepanda, long, 0000000000000032
lol.dumplingsareyum, long, 0000000000000032
lpitem, long, 0000000000003D7E
marksmanlvl::<player>, long, 0000000000000000
mercenarylvl::<player>, long, 0000000000000000
mercenarylvlbrunothepanda, long, 0000000000000001
mercenarylvlcalthepanda, long, 0000000000000001
money::<player>, long, 0000000000000000
money::bestenderman25, long, 000000000000001A
money::brunothepanda, long, 0000000000001163
money::bublymonkey, long, 000000000013D652
money::calthepanda, long, 0000000000987EEB
money::eh7, long, 000000000000004B
money::pineapplegoys, long, 0000000000000019
money::siraxewell, long, 000000000000004B
ninjalvl::<player>, long, 0000000000000000
ninjalvlcalthepanda, long, 0000000000000001
paladinlvl::<player>, long, 0000000000000000
paladinlvlbrunothepanda, long, 0000000000000001
paladinlvlcalthepanda, long, 0000000000000001
rangerbrunothepanda, long, 0000000000000001
rangercalthepanda, long, 0000000000000001
rangerlvl::<player>, long, 0000000000000000
rdistance, long, 0000000000000000
right, long, 0000000000000000
s1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::1, itemstack, 810576616C756520805676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A2020616D6F756E743A2036340A
s1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::2, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A
s1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::3, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A
s1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::4, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A
s1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::5, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A
s1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::6, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A
s1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::7, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A
s1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::8, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A
s1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::9, itemstack, 810576616C756520804976616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A
s1kit::calthepanda::1, itemstack, 810576616C756520804C76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204449414D4F4E445F53574F52440A
s1kit::calthepanda::2, itemstack, 810576616C756520804276616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20424F570A
s1kit::calthepanda::3, itemstack, 810576616C756520805176616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204152524F570A2020616D6F756E743A2036340A
s1kit::calthepanda::4, itemstack, 810576616C756520805176616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204152524F570A2020616D6F756E743A2036340A
s1kit::calthepanda::5, itemstack, 810576616C756520804C76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204449414D4F4E445F424F4F54530A
s1kit::calthepanda::6, itemstack, 810576616C756520804F76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204449414D4F4E445F4C454747494E47530A
s1kit::calthepanda::7, itemstack, 810576616C756520805176616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204449414D4F4E445F4348455354504C4154450A
s1kit::calthepanda::8, itemstack, 810576616C756520804D76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204449414D4F4E445F48454C4D45540A
s1kitsaved::<player>::*, long, 0000000000000000
s1kitsaved::calthepanda::1, long, 0000000000000001
s2kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::1, itemstack, 810576616C756520805676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204F414B5F504C414E4B530A2020616D6F756E743A2036340A
s2kitsaved::<player>::*, long, 0000000000000000
s3kit::calthepanda::1, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2047524153535F424C4F434B0A
s3kit::calthepanda::2, itemstack, 810576616C756520804576616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20504F445A4F4C0A
s3kit::calthepanda::3, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20434F415253455F444952540A
s3kit::calthepanda::4, itemstack, 810576616C756520804476616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2053544F4E450A
s3kitsaved::<player>::*, long, 0000000000000000
s4kit::calthepanda::1, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20434F415253455F444952540A
s4kitsaved::<player>::*, long, 0000000000000000
s4kitsaved::calthepanda::1, long, 0000000000000001
s5kit::calthepanda::1, itemstack, 810576616C756520805676616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A20434F415253455F444952540A2020616D6F756E743A20320A
s5kit::calthepanda::2, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A2047524153535F424C4F434B0A
s5kit::calthepanda::3, itemstack, 810576616C75652082BD76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204C494D455F535441494E45445F474C4153535F50414E450A20206D6574613A0A202020203D3D3A204974656D4D6574610A202020206D6574612D747970653A20554E53504543494649430A20202020646973706C61792D6E616D653A20277B226578747261223A5B7B22626F6C64223A66616C73652C226974616C6963223A66616C73652C22756E6465726C696E6564223A66616C73652C22737472696B657468726F756768223A66616C73652C226F626675736361746564223A66616C73652C22636F6C6F72223A22677265656E222C2274657874223A2245717569700A2020202020204B6974227D5D2C2274657874223A22227D270A202020206C6F72653A0A202020202D20277B226578747261223A5B7B22626F6C64223A66616C73652C226974616C6963223A66616C73652C22756E6465726C696E6564223A66616C73652C22737472696B657468726F756768223A66616C73652C226F626675736361746564223A66616C73652C22636F6C6F72223A2267726179222C2274657874223A22636C69636B0A202020202020746F206571756970206B697420227D5D2C2274657874223A22227D270A202020202D20277B226578747261223A5B7B22626F6C64223A66616C73652C226974616C6963223A66616C73652C22756E6465726C696E6564223A66616C73652C22737472696B657468726F756768223A66616C73652C226F626675736361746564223A66616C73652C22636F6C6F72223A2267726179222C2274657874223A2266726F6D0A202020202020227D2C7B226974616C6963223A66616C73652C22636F6C6F72223A226461726B5F707572706C65222C2274657874223A22736C6F742035227D5D2C2274657874223A22227D270A
s5kitsaved::<player>::*, long, 0000000000000000
s5kitsaved::calthepanda::1, long, 0000000000000001
s6kitsaved::<player>::*, long, 0000000000000000
s7kitsaved::<player>::*, long, 0000000000000000
s8kitsaved::<player>::*, long, 0000000000000000
samarailvlcalthepanda, long, 0000000000000001
samurailvl::<player>, long, 0000000000000000
samurailvlbestenderman25, long, 0000000000000001
samurailvlbrunothepanda, long, 0000000000000001
samurailvlcalthepanda, long, 0000000000000001
setcommand, string, 8005737061776E
slot1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::1, itemstack, 810576616C756520805776616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A205350525543455F444F4F520A2020616D6F756E743A2036340A
slot1kit::bbb9c982-0bf1-47cf-b8e9-d4204d4665ba::2, itemstack, 810576616C756520804A76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A205350525543455F444F4F520A
slot1kit::calthepanda::1, itemstack, 810576616C756520804C76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204449414D4F4E445F424F4F54530A
slot1kit::calthepanda::2, itemstack, 810576616C756520804F76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204449414D4F4E445F4C454747494E47530A
slot1kit::calthepanda::3, itemstack, 810576616C756520805176616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204449414D4F4E445F4348455354504C4154450A
slot1kit::calthepanda::4, itemstack, 810576616C756520804D76616C75653A0A20203D3D3A206F72672E62756B6B69742E696E76656E746F72792E4974656D537461636B0A2020763A20323538360A2020747970653A204449414D4F4E445F48454C4D45540A
sneakoniron, long, 0000000000000000
swordsmanlvl::<player>, long, 0000000000000000
"total directions", long, 0000000000000000
turtleactive, long, 0000000000000001
turtleactive<player>, long, 0000000000000000
turtlelvl::<player>, long, 0000000000000000
turtlelvlbrunothepanda, long, 0000000000000001
turtlelvlcalthepanda, long, 0000000000000001
withercd::<player>, long, 0000000000000000
withercd::calthepanda, long, 0000000000000000

